Plot,Tag,StemTag,Quadrat,GenusSpecies,QX,QY,PX,PY,DBH_Cen2017,DBH_Cen2022,Codes,HOM,ExactDate,tag_stem,tag_stem_Q
MST,162258,1,1610,Walsura robusta,4.04,3.66,4.04,183.66,6.2,7.3,NA,1.3,14/2/2021,162258_1,162258_1_1610
MST,184038,1,1823,Glycosmis mauritiana,4.62,1.7,44.62,441.7,5.6,5.6,NA,1.3,29/3/2021,184038_1,184038_1_1823
MST,214232,1,2124,Walsura robusta,4.87,13.99,104.87,473.99,10.1,13.1,NA,1.3,30/5/2021,214232_1,214232_1_2124
MST,222029,1,2210,Walsura robusta,11.82,5.33,131.82,185.33,6.6,9.7,NA,1.3,6/6/2021,222029_1,222029_1_2210
MST,23082,1,2312,Sloanea sigun,5.3,17,145.3,237,34.6,35.8,NA,1.3,26/6/2021,23082_1,23082_1_2312
MST,231491,1,2307,Ardisia sanguinolenta,11.1,12.43,151.1,132.43,8.3,9.6,NA,1.3,22/6/2021,231491_1,231491_1_2307
MST,231612,1,2308,Eugenia syzygioides,7.57,8.84,147.57,148.84,4.8,5.1,NA,1.3,24/6/2021,231612_1,231612_1_2308
MST,23245,1,2307,Nephelium melliferum,4.3,0.4,144.3,120.4,20.1,20.5,IC,1.3,22/6/2021,23245_1,23245_1_2307
MST,234345,1,2324,Cinnamomum subavenium,0.7,4.76,140.7,464.76,13.6,18.6,NA,1.3,2/7/2021,234345_1,234345_1_2324
MST,234450,1,2324,Memecylon lilacinum,17.21,3.23,157.21,463.23,11.7,14.7,IC,1.3,2/7/2021,234450_1,234450_1_2324
MST,31105,1,3116,Castanopsis acuminatissima,13.33,12.3,313.33,312.3,24.4,23.4,NA,1.3,25/11/2021,31105_1,31105_1_3116
MST,311850,1,3113,Polyalthia affevecta,2.9,13.44,302.9,253.44,5.7,5.9,L,1.3,23/11/2021,311850_1,311850_1_3113
MST,314010,1,3118,Lithocarpus eucalyptifolius,15.38,16.5,315.38,356.5,3.2,6.4,NA,1.3,26/11/2021,314010_1,314010_1_3118
MST,374692,1,3716,Ilex chevalieri,19.92,19.1,439.92,319.1,10.7,12,NA,1.2,13/3/2022,374692_1,374692_1_3716
MST,39371,2,3921,Sloanea sigun,4.4,6.9,464.4,406.9,4,5,S,1.3,19/4/2022,39371_2,39371_2_3921
MST,413563,1,4120,Gironniera nervosa,13.97,10.65,513.97,390.65,14.2,16.3,XAB,1.3,1/6/2022,413563_1,413563_1_4120
MST,422776,1,4216,Beilschmiedia glauca,3.17,12.5,523.17,312.5,4.7,5.4,NA,1.3,15/6/2022,422776_1,422776_1_4216
MST,451394,1,4508,Alchornea rugosa,8.05,13.82,588.05,153.82,6.6,6.4,NA,1.3,14/8/2022,451394_1,451394_1_4508
MST,451394,2,4508,Alchornea rugosa,8.05,13.82,588.05,153.82,6.8,7.6,NA,1.3,14/8/2022,451394_2,451394_2_4508
MST,451396,1,4508,Mastixia pentandra,6.53,14.38,586.53,154.38,6.8,6.7,NA,1.3,14/8/2022,451396_1,451396_1_4508
MST,451898,1,4512,Castanopsis acuminatissima,2.7,19.87,582.7,239.87,21,27.9,NA,1.3,16/8/2022,451898_1,451898_1_4512
SES5,SES5_342491,1,3426,Pterospermum cinnamomeum,0.11,1.49,20.11,1.49,12.2,12.3,M,1.3,9/9/2022,SES5_342491_1,SES5_342491_1_3426
